LevelOfStudy,StudyDurationUI ,HomeRegion,CGPA,FundingSource,CampusParticipation,FriendshipEase,FriendsComposition,FriendshipPreference,InterestNewFriends,PrimaryStressSource,MentalHealthStatus,StudyStressFrequency,LonelinessFrequency,SupportAdequacy,AwarenessMentalHealthResources,UseMentalHealthResources,SocialImpactMentalHealth,CulturalAdjustmentChallenge,FinancialStressFrequency,WorkStudyBalance,TuitionFeeConcern,FinancialSupportSatisfaction,FinancialWorriesImpact ,ConsideredTransferring,ReasonsForTransferring,StayFactors,AcademicExperienceRating
Graduate,1 to 2 years,South Asia,3.50 - 4.00,GRA / GTA,Often,Moderate,Mostly students from my subcontinent but different countries,"No preference, I'm open to making friends from any background",Yes,Missing Family & Friends,Fair,Sometimes,Sometimes,Neutral,Yes,Considered but never used,Positively,Not challenging at all,Always,Moderately challenging,Slightly concerned,Satisfied,Slightly,No,Research Pressure,"Improved academic experience, Financial support/scholarships, Stronger social connections",Good
Undergraduate,Less than 6 months,South Asia,3.50 - 4.00,"Family support, Scholarship",Often,Moderate,A mix of all the above,Students from various international backgrounds,Yes,Financial,Good,Sometimes,Sometimes,Neutral,Yes,Considered but never used,Positively,Slightly challenging,Sometimes,Not applicable (I do not work part-time),Moderately concerned,Neutral,Neutral,Yes,Financial reasons,"Improved academic experience, Stronger social connections, Adaptation to cultural environment",Good
Graduate,1 to 2 years,Middle East and North Africa (MENA),3.50 - 4.00,Scholarship,Often,Moderate,Mostly students from my own community/country,Students from various international backgrounds,Yes,Coursework difficulty,Good,Sometimes,Rarely,Neutral,Yes,"No, not interested",Negatively,Moderately challenging,Always,Slightly challenging,Extremely concerned,Unsatisfied,Greatly,Yes,Financial reasons,Adaptation to cultural environment,Good
Graduate,2 to 3 years,South Asia,3.50 - 4.00,GRA / GTA,Sometimes,Easy,A mix of all the above,"No preference, I'm open to making friends from any background",Yes,Coursework difficulty,Fair,Sometimes,Sometimes,Agree,Yes,Considered but never used,Positively,Moderately challenging,Sometimes,Not applicable (I do not work part-time),Extremely concerned,Unsatisfied,Greatly,No,Academic dissatisfaction,Improved academic experience,Average
Graduate,More than 3 years,South Asia,3.00 - 3.49,GRA / GTA,Sometimes,Moderate,Mostly students from my subcontinent but different countries,Students from various international backgrounds,Yes,Coursework difficulty,Fair,Sometimes,Never,Agree,Yes,Considered but never used,Positively,Moderately challenging,Always,Not applicable (I do not work part-time),Slightly concerned,Unsatisfied,Slightly,No,N/A,Financial support/scholarships,Good
Graduated,Graduated,South Asia,3.50 - 4.00,GRA / GTA,Sometimes,Moderate,Mostly international students from various countries,"No preference, I'm open to making friends from any background",Yes,Coursework difficulty,Good,Sometimes,Sometimes,Neutral,Not Sure,"No, not interested",No impact,Moderately challenging,Rarely,Not applicable (I do not work part-time),Not concerned at all,Neutral,Not at all,No,Better opportunities ,Adaptation to cultural environment,Good
Graduate,1 to 2 years,South Asia,3.50 - 4.00,GRA / GTA,Sometimes,Moderate,Mostly students from my own community/country,Students from various international backgrounds,Yes,Coursework difficulty,Good,Sometimes,Rarely,Neutral,Yes,"No, not interested",No impact,Slightly challenging,Sometimes,Not applicable (I do not work part-time),Not concerned at all,Neutral,Greatly,No,Academic dissatisfaction,Adaptation to cultural environment,Poor
Graduate,1 to 2 years,South Asia,3.50 - 4.00,GRA / GTA,Sometimes,Moderate,Mostly students from my subcontinent but different countries,"No preference, I'm open to making friends from any background",No,Coursework difficulty,Fair,Always,Rarely,Agree,Yes,"Yes, more than once",No impact,Slightly challenging,Never,Slightly challenging,Not concerned at all,Satisfied,Not at all,Yes,Research Pressure,Financial support/scholarships,Good
Undergraduate,6 months to 1 year,Southeast Asia,3.50 - 4.00,Part-time job (On-campus),Often,Easy,A mix of all the above,"No preference, I'm open to making friends from any background",Yes,Financial,Poor,Always,Always,Disagree,Yes,"Yes, more than once",No impact,Slightly challenging,Always,Extremely challenging,Extremely concerned,Unsatisfied,Greatly,Already transferred,Financial reasons,Financial support/scholarships,Poor
Undergraduate,Less than 6 months,South Asia,3.50 - 4.00,Family support,Often,Moderate,Mostly students from my subcontinent but different countries,Students from various international backgrounds,Yes,Coursework difficulty,Good,Sometimes,Rarely,Agree,Yes,"No, not interested",No impact,Moderately challenging,Sometimes,Not challenging at all,Slightly concerned,Neutral,Slightly,No,Social difficulties,Improved academic experience,Average
